EntityName,AttributeName,AttributeValue,UpdateAttributeValue,IsInvalidAttribute
SYSTEM_OFFER,OfferDescription,Verbringen Sie 10 $ - erhalten Sie 10 Bonus Eier,Verbringen Sie 10 $ - erhalten Sie 10 Bonus Eier aktualisiert,N
SYSTEM_OFFER,OfferShortDescription,10 Bonuseier,10 Bonuseier aktualisiert,N
SYSTEM_OFFER,OfferTermsAndConditions,Geschäftsbedingungen gelten,Allgemeine Geschäftsbedingungen übernehmen Aktualisiert,N
SYSTEM_OFFER,OfferCode,Geschäftsbedingungen gelten,Allgemeine Geschäftsbedingungen übernehmen Aktualisiert,Y
SURVEY_ANSWER,AnswerDescription,Test Answer,Test Answer aktualisiert,N
SURVEY_ANSWER,AnswerValue,BMW,BMW Trns,N
SURVEY_ANSWER,AnswerName,Benz,Benz Trns,Y
TIER,TierDescription,Bronze Test,Bronze Test aktualisiert,N
TIER,TierName,Bronze Test,Bronze Test Trns,N
TIER,TierCode,Bronze Test,Bronze Test Trns,Y
SURVEY_TYPE,SurveyName,Verteiler,Verteiler aktualisiert,Y
SURVEY,SurveyDescription,Verteiler,Verteiler aktualisiert,N
SURVEY,IntroductoryCaption,Einführungsbeitrag der offiziellen Umfrage,Einführungsbeitrag der offiziellen Umfrage aktualisiert,N
SURVEY,CompletionMessage,Danke für das Ausfüllen der Umfrage,Danke für das Ausfüllen der Umfrage aktualisiert,N
SURVEY,SurveyName,Population,Population aktualisiert,Y
SURVEY_QUESTION_ANSWERS,QuestionPostAnswerMsg,Antwortete,Beantwortete erneut,N
SURVEY_QUESTION_ANSWERS,QuestionMessage,Antwortete,Beantwortete erneut,Y
PROGRAM,Name,Geflügel-Vergünstigungen,Geflügel-Vergünstigungen erneut,N
PROGRAM,Description,Geflügel-Vergünstigungen,Geflügel-Vergünstigungen erneut,N
PROGRAM,TermsAndConditions1,Allgemeine Geschäftsbedingungen 1,Allgemeine Geschäftsbedingungen erneut 1,N
PROGRAM,TermsAndConditions2,Allgemeine Geschäftsbedingungen 2,Allgemeine Geschäftsbedingungen erneut 2,N
PROGRAM,TermsAndConditions3,Allgemeine Geschäftsbedingungen 3,Allgemeine Geschäftsbedingungen erneut 3,N
PROGRAM,ProgramName,Geflügel-Vergünstigungen,Geflügel-Vergünstigungen erneut,Y
COUNTRY,CountryName,Vereinigte Staaten,Vereinigte Staaten von Amerika,N
COUNTRY,Name,Vereinigte Staaten,Vereinigte Staaten von Amerika,Y
GENDER,GenderDescription,weiblich,weiblich aktualisiert,N
GENDER,Description,weiblich,weiblich aktualisiert,Y
SOURCE,SourceDescription,Quelle,Quelle aktualisieren,N
SOURCE,Description,Quelle,Quelle aktualisieren,Y
PREFIX,NamePrefix,Fräulein,Fräun,N
PREFIX,Prefix,Fräulein,Fräun,Y
PREFIX,PrefixDescription,PräfixFräulein,Präfix,N
PREFIX,Description,PräfixFräulein,Präfix,Y
SUFFIX,NameSuffix,Herr.,Herr,N
SUFFIX,Name,Herr.,Herr,Y
SUFFIX,Description,Herr,Herr Suffix,N
SUFFIX,SuffixDescription,Herr,Herr Suffix,Y
POSTING_KEY,PostingKeyDescription,weiblich,aktualisiert,N
POSTING_KEY,PostingKey,weiblich,aktualisiert,Y
MARITAL_STATUS,MaritalStatusDescription,Marital Status,Familienstand,N
MARITAL_STATUS,Name,Herr.,Herr,Y
INQUIRY_CATEGORY,Description,weiblich,aktualisiert,N
INQUIRY_CATEGORY,DescriptionCategory,weiblich,aktualisiert,Y
TIER_REASON,Description,Tier Reason,Tier Grund,N
TIER_REASON,Name,Herr.,Herr,Y
INQUIRY_REASON,Description,weiblich,aktualisiert,N
INQUIRY_REASON,DescriptionCategory,weiblich,aktualisiert,Y
CUSTOM_ATTRIBUTE,Description,weiblich,aktualisiert,N
CUSTOM_ATTRIBUTE,DescriptionCategory,weiblich,aktualisiert,Y
SURVEY_CLASS,SurveyClassDescription,PADRÃO,PADRÕES,N
SURVEY_CLASS,SurveyClassName,PADRÃO,PADRÕES,Y
SEGMENT_DATA,Description,weiblich,weiblichs,N
SEGMENT_DATA,Name,Herr.,Herr,Y
POINT_TYPE,PointTypeDescription,Eier,Eiers,N
POINT_TYPE,PointTypeShortDescription,Eier,Eiers,N
POINT_TYPE,Desc,Eier,Eiers,Y
POINT_SUBTYPE,Desc,Bruteier,Bruteiers,N
POINT_SUBTYPE,ShortDesc,Bruteier,Bruteiers,N
POINT_SUBTYPE,PointTypeDescription,Bruteier,Bruteiers,Y
OPT,OptName,Brand Email Opt,Marken-E-Mail-Opt,N
OPT,Opt,Brand Email Opt,Marken-E-Mail-Opt,Y
TENDER,Description,Store Credit,Einkaufskredit,N
TENDER,Desc,Store Credit,Einkaufskredit,Y
STORE,StoreName,KFC Deutsch,aktualisieren KFC,N
STORE,Store,KFC Deutsch,aktualisieren KFC,Y
PRODUCT,UOM,pound,Pfunds,N
PRODUCT,SKUName,Speckkäse,Speckkäses,N
PRODUCT,SKUDesc,Speckkäse gebackene Kartoffel,Speckkäse gebackene Kartoffels,N
PRODUCT,ProductName,Speckkäse,Speckkäses,N
PRODUCT,Season,Jederzeit,Alle zeit,N
PRODUCT,ProductComment,Köstlich,Unglaublich,N
PRODUCT,LongDescription,Lange Beschreibung, Lange Beschreibungs, N
PRODUCT,ProductLongComment,Köstlich,Unglaublich,Y
DELIVERY_STATUS,DeliveryStatusDescription,N,NON UTILISABLE,N
DELIVERY_STATUS,DeliveryStatus,N,NON UTILISABLE,Y
SUBSCRIPTION,SubscriptionName,EMAILCOUP,EMAILCOUP French,N
SUBSCRIPTION,Subscription,EMAILCOUP,EMAILCOUP French,Y
SUBSCRIPTION,SubscriptionDescription,Emailed coupons,Coupons envoyés par courriel,N
SUBSCRIPTION,Subscription,Emailed coupons,Coupons envoyés par courriel,Y
LANGUAGE,Name,German,Deutsche,N
LANGUAGE,LanguageName,German,Deutsche,Y
PRODUCT_HIERARCHY,Level1Label,Menükategorie,Menükategories,N
PRODUCT_HIERARCHY,Level2Label,Menüelementtyp,Menüelementtype,N
PRODUCT_HIERARCHY,CategorySchemeDescription,LOYALITÄT,LOYALITÄTS,N
PRODUCT_HIERARCHY,LEVELLABEL,Menükategorie,Menükategories,Y
PROCESS_ACTIVITY,ProcActivityDesc,Prozessaktivität,Prozessaktivitätes,N
PROCESS_ACTIVITY,Name,Prozessaktivität,Prozessaktivitätes,Y
PRODUCT_CATALOG,Description,Speckkäse gebackene Kartoffel,Speckkäse gebackene Kartoffels,N
PRODUCT_CATALOG,Level1Description,Seiten,Seitens,N
PRODUCT_CATALOG,Level2Description,Gebackenen Kartoffeln,Gebackenen Kartoffelns,N
PRODUCT_CATALOG,LongDescription,Lorem ipsum dolor sit amet.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",N
PRODUCT_CATALOG,ProdHierarchy,Gebackenen Kartoffeln,Gebackenen Kartoffelns,Y
DEFAULT_SETTINGS,Parameter2Value, des chiffres et les symboles suivants: @ _.-,des chiffres et les symboles suivants:,Y
DEFAULT_SETTINGS,ParameterValue, des chiffres et les symboles suivants: @ _.-,des chiffres et les symboles suivants:,N
PROGRAM_SETTINGS,Parameter2Value, des chiffres et les symboles suivants: @ _.-,des chiffres et les symboles suivants:,Y
PROGRAM_SETTINGS,ParameterValue, des chiffres et les symboles suivants: @ _.-,des chiffres et les symboles suivants:,N
MOMENT,Description,Spend $200 or more and get 50 points offer for Fall River,Get an egg for every dollar spent for Chicken Shack,N
MOMENT,Desc,Spend $200 or more and get 50 points offer for Fall River,Obtenez un œuf pour chaque dollar dépensé pour le Poulailler,Y
SYSTEM_MODULE,UIModuleName,Profile Audit History,Profile Audit History aktualisiert,N
SYSTEM_MODULE,UIModuleNam,Profile Audit History,Profile Audit History aktualisiert,Y
TRANS_PROFILE_REQFIELD,FieldDescription,E-Mail-Addresse,E-Mail-Addresse,N
TRANS_PROFILE_REQFIELD,FieldDesc,E-Mail-Addresse,E-Mail-Addresse,Y
FRAUD_RULE_CATEGORY,Category,Rewarde Ordere,Rewarde Ordere,N
FRAUD_RULE_CATEGORY,Categor,Rewarde Ordere,Rewarde Ordere,Y
BUSINESS,BusinessName,Stoff,Diamant,N
BUSINESS,BusinessCode,Stoff,Diamant,Y
CHANNEL_LOCATION,ChannelLocationDesc,Hauptkanal,sekundärer Kanal,N
CHANNEL_LOCATION,ChannelLocationId,Hauptkanal,sekundärer Kanal,Y
STATUS_CHANGE_REASON,Description,Statusänderung 1,Statustest Änderung,N
STATUS_CHANGE_REASON,StatusChangeReasonId,Statusänderung 1,Statustest Änderung,Y
ENROLLMENT_STATUS,Description,Testanmeldung,Zweite Testanmeldung,N
ENROLLMENT_STATUS,EnrollmentStatus,Testanmeldung,Zweite Testanmeldung,Y
TRANSACTION_TYPE_CODE,Description,Ungetestet,geprüft,N
TRANSACTION_TYPE_CODE,RefTransactionTypeCodeId,Ungetestet,geprüft,Y
ADJUSTMENT_REASON,Description,Goodwill-Anpassung,Goodwill-Anpassung,N
ADJUSTMENT_REASON,Desc,Goodwill-Anpassung,Goodwill-Anpassung,Y
MARKETING_EVENT,EventName,ONLINEEMAIL27_2,Goodwill-Anpassun,N
MARKETING_EVENT,EventDesc,MKTPromotion,Goodwill-Anpassun,Y
PACKAGED_AUDIENCE,AudienceName,Active Members,Upd Active Members,N
PACKAGED_AUDIENCE,Audience,Active Members,Upd Active Members,Y
PACKED_OFFER,PackagedOfferName,Earn a Certificate on a Transaction,Upd Earn a Certificate on a Transaction,N
PACKED_OFFER,PackagedOffer,Earn a Certificate on a Transaction,Upd Earn a Certificate on a Transaction,Y
VAP_SEGMENT_SCORE,VAPSegmentScoreName,Engage,Upd Engage,N
VAP_SEGMENT_SCORE,VAPSegmentScore,Engage,Upd Engage,Y
TIER_AGGREGATE_DESC,AggregateDescription, Aggregate Desc Test, Aggr Desc Test Trns,N
TIER_AGGREGATE_DESC,AggregateDescript, Aggregate Desc Test, Aggr Desc Test Trns,Y
MKT_EVENT_TYPE,TypeName,Offer,Upd Offer,N
MKT_EVENT_TYPE,Type,Engage,Upd Engage,Y
MKT_EVENT_CHANNEL,ChannelName,OnLine Message,Upd OnLine Message,N
MKT_EVENT_CHANNEL,Channe,OnLin Message,Upd OnLine Message,Y
MARKETING_FILE_OUTPUT,FileLayoutName,UpdFileLayoutName,Upd FLName,N
MARKETING_FILE_OUTPUT,FileLayout,Engage,Upd Engage,Y
ROLE,Description,All Module Access,Upd All Module Access,N
ROLE,DescriptionNeg,All Modle,Upd All Module Access,Y
MARKETING_CONFIG_PANEL,MarketingConfigPanelName,Engage,Upd ConfigPanelName,N
MARKETING_CONFIG_PANEL,MarketingConfigPanel,Engage,Upd Engage,Y
MARKETING_OFFER_CATEGORY,CategoryName,Engage,Upd CategoryName,N
MARKETING_OFFER_CATEGORY,Category,Engage,Upd Engage,Y
SEGMENT_DATA_LINK,FriendlyTableName,RVC-Segments,RVC-Segment,N
SEGMENT_DATA_LINK,FriendlyColumnName,RVC-Segmentcodes,RVC-Segmentcode,N
SEGMENT_DATA_LINK,FriendlyColumnName2,RVC-Segmentcodes,RVC-Segmentcode,Y
METRIC_TYPES,GoalObjectiveDesc,Increase By,Increase By updated,N
METRIC_TYPES,ValueTypeDesc,Percentage,Percentage updated,N
METRIC_TYPES,ValueTypeDesc1,Percentage,Percentage updated,Y
GOAL,GoalDescription,Increase By,Increase By updated,N
GOAL,ValueTypeDesc1,Percentage,Percentage updated,Y
OFFER_TAGS,OfferTagName,TagName,Verlinke den Namen,N
OFFER_TAGS,OfferTagDescription,TagDescription,TagBeschreibung,N
OFFER_TAGS,OfferTagCode,TagCode,TagCode,Y
OFFER_TAG_CATEGORIES,OfferTagCategoryName,TagCategoryName,Tag-Kategoriename,N
OFFER_TAG_CATEGORIES,OfferTagCategoryDesc,TagCategoryDescription,Tag-KategorieDescription,N
OFFER_TAG_CATEGORIES,OfferTagCategoryCode,TagCategoryCode,Tag-Kategoriecode,Y
